,gossip_is_true,orange_is_risky,intent_fact_telling,orange_is_unethical,intent_altruistic,Mean_RelationalMobility
gossip_is_true,1.0,0.6873156761983853,0.3801935286084955,0.6392830454747516,0.5208229179651419,-0.10207927688900612
orange_is_risky,0.6873156761983853,1.0,0.4427062791353639,0.5668163809285895,0.5070009855812228,-0.05095517467957298
intent_fact_telling,0.3801935286084955,0.4427062791353639,1.0,0.2646847318891023,0.5161949699925036,0.07194856969917636
orange_is_unethical,0.6392830454747516,0.5668163809285895,0.2646847318891023,1.0,0.38175307945771053,-0.025614038981927094
intent_altruistic,0.5208229179651419,0.5070009855812228,0.5161949699925036,0.38175307945771053,1.0,-0.10496524914145966
Mean_RelationalMobility,-0.10207927688900612,-0.05095517467957298,0.07194856969917636,-0.025614038981927094,-0.10496524914145966,1.0
