,treatment,invest_A_limit,invest_B_limit,invest_C_limit,invest_X_limit,gossip_is_true,orange_is_risky,orange_is_unethical,intent_selfish_induction,intent_altruistic_induction,intent_fact_telling_induction,intent_selfish,intent_altruistic,intent_fact_telling,rm_1_meet_many,rm_2_talk_strangers,rm_3_choose_partners,rm_4_few_friends_rev,rm_5_uncommon_talk_rev,rm_6_leave_for_better,rm_7_cannot_choose_rev,rm_8_easy_to_meet,rm_9_stay_in_group_rev,rm_10_choose_groups,rm_11_must_stay_rel_rev,rm_12_must_stay_group_rev,Mean_RelationalMobility,Mean_Gossip_reception
count,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
mean,0.5,4,1.8333333333333333,2.8333333333333335,1.3333333333333333,4.166666666666667,4.5,4.166666666666667,0,1,1,,2.6666666666666665,2.8333333333333335,3.1666666666666665,2.5,4,3.1666666666666665,2.8333333333333335,4,3.6666666666666665,2.6666666666666665,3.3333333333333335,4.166666666666667,3.1666666666666665,2.8333333333333335,3.2916666666666665,4.277777777777778
std,0.5477225575051661,0,0.752772653,0.40824829046386296,0.5163977794943222,1.4719601443879746,1.378404875209022,1.7224014243685086,0,0,0,,0.816496581,1.7224014243685084,1.1690451944500122,0.8366600265340756,1.0954451150103321,1.1690451944500122,0.98319208,1.2649110640673518,1.3662601021279464,1.0327955589886444,1.0327955589886446,0.752772653,1.8348478592697182,1.3291601358251257,0.10206207261596582,1.3891110933361772
min,0,4,1,2,1,2,2,2,0,1,1,,2,1,2,2,2,2,2,2,2,1,2,3,1,2,3.1666666666666665,2
25%,0,4,1.25,3,1,3.25,4.25,3,0,1,1,,2,2,2.25,2,4,2.25,2,3.25,2.5,2.25,3,4,2,2,3.208333333333333,3.5833333333333335
50%,0.5,4,2,3,1,4.5,5,4,0,1,1,,2.5,2,3,2,4,3,2.5,4.5,4,3,3,4,3,2,3.3333333333333335,4.666666666666666
75%,1,4,2,3,1.75,5,5,5.75,0,1,1,,3,4.25,3.75,2.75,4.75,3.75,3.75,5,4.75,3,3.75,4.75,4,3.5,3.3333333333333335,5.25
max,1,4,3,3,2,6,6,6,0,1,1,,4,5,5,4,5,5,4,5,5,4,5,5,6,5,3.4166666666666665,5.666666666666667
